table_name,column_name,data_type,is_nullable,column_default
companies,id,uuid,NO,gen_random_uuid()
companies,name,text,NO,
companies,status,text,YES,'activa'
companies,plan_type,text,YES,'prueba'
companies,subscription_start_at,timestamptz,YES,now()
companies,subscription_end_at,timestamptz,YES,now() + interval 7 days
companies,settings,jsonb,YES,'{}'::jsonb
profiles,id,uuid,NO,
profiles,company_id,uuid,YES,
profiles,role,text,NO,'tenant'
profiles,full_name,text,YES,
crm_marketing_contacts,id,uuid,NO,gen_random_uuid()
crm_marketing_contacts,company_id,uuid,NO,
crm_marketing_contacts,phone,text,NO,
crm_marketing_contacts,first_name,text,YES,
crm_marketing_contacts,last_name,text,YES,
crm_marketing_contacts,dni,text,YES,
crm_wa_campaigns,id,uuid,NO,gen_random_uuid()
crm_wa_campaigns,company_id,uuid,NO,
crm_wa_campaigns,name,text,NO,
crm_wa_campaigns,status,text,YES,'draft'
crm_wa_campaigns,sent_count,integer,YES,0
crm_wa_campaigns,failed_count,integer,YES,0
crm_wa_campaigns,replied_count,integer,YES,0
crm_wa_queue,id,uuid,NO,gen_random_uuid()
crm_wa_queue,company_id,uuid,NO,
crm_wa_queue,campaign_id,uuid,YES,
crm_wa_queue,phone,text,NO,
crm_wa_queue,message,text,NO,
crm_wa_queue,media_url,text,YES,
crm_wa_queue,status,text,YES,'pendiente'
crm_wa_queue,scheduled_for,timestamptz,YES,now()
wa_sessions,id,uuid,NO,gen_random_uuid()
wa_sessions,company_id,uuid,NO,
wa_sessions,bb_project_id,text,YES,
wa_sessions,bb_host,text,YES,
wa_sessions,status,text,YES,'desconectado'
wa_auth_state,id,uuid,NO,gen_random_uuid()
wa_auth_state,company_id,uuid,NO,
spa_services,id,uuid,NO,gen_random_uuid()
spa_services,company_id,uuid,NO,
spa_services,name,text,NO,
spa_services,price,numeric,NO,0
spa_staff,id,uuid,NO,gen_random_uuid()
spa_staff,company_id,uuid,NO,
spa_staff,full_name,text,NO,
spa_visits,id,uuid,NO,gen_random_uuid()
spa_visits,company_id,uuid,NO,
spa_visits,contact_id,uuid,NO,
spa_visits,staff_id,uuid,YES,
spa_visits,status,text,YES,'programada'
spa_payments,id,uuid,NO,gen_random_uuid()
spa_payments,company_id,uuid,NO,
spa_payments,visit_id,uuid,YES,
spa_payments,amount,numeric,NO,0
spa_follow_ups,id,uuid,NO,gen_random_uuid()
spa_follow_ups,company_id,uuid,NO,
spa_follow_ups,contact_id,uuid,NO,
