constraint_name,table_name,column_name,foreign_table_name,foreign_column_name
profiles_company_id_fkey,profiles,company_id,companies,id
crm_marketing_contacts_company_id_fkey,crm_marketing_contacts,company_id,companies,id
crm_wa_campaigns_company_id_fkey,crm_wa_campaigns,company_id,companies,id
crm_wa_queue_company_id_fkey,crm_wa_queue,company_id,companies,id
crm_wa_queue_campaign_id_fkey,crm_wa_queue,campaign_id,crm_wa_campaigns,id
wa_sessions_company_id_fkey,wa_sessions,company_id,companies,id
spa_services_company_id_fkey,spa_services,company_id,companies,id
spa_staff_company_id_fkey,spa_staff,company_id,companies,id
spa_visits_company_id_fkey,spa_visits,company_id,companies,id
spa_visits_contact_id_fkey,spa_visits,contact_id,crm_marketing_contacts,id
spa_payments_company_id_fkey,spa_payments,company_id,companies,id
spa_follow_ups_company_id_fkey,spa_follow_ups,company_id,companies,id
