oid,schema_name,function_name,identity_arguments,full_arguments,return_type,security_definer,owner,proconfig,anon_can_execute,authenticated_can_execute
17916,public,auth_company_id,,(),uuid,false,postgres,search_path=public,true,true
17290,public,current_tenant_id,,(),uuid,false,postgres,search_path=public,true,true
18999,public,check_visit_overlap,"p_staff_id uuid, p_visit_date timestamptz, p_duration_minutes integer, p_exclude_visit_id uuid","(p_staff_id uuid, p_visit_date timestamptz, p_duration_minutes integer, p_exclude_visit_id uuid DEFAULT NULL::uuid)",boolean,true,postgres,,true,true
18066,public,increment_campaign_sent,p_campaign_id uuid,(p_campaign_id uuid),void,true,postgres,,true,true
18067,public,increment_campaign_failed,p_campaign_id uuid,(p_campaign_id uuid),void,true,postgres,,true,true
18712,public,rpc_archive_contacts,"p_contact_ids uuid[], p_archive boolean","(p_contact_ids uuid[], p_archive boolean DEFAULT true)",void,true,postgres,,true,true
18713,public,rpc_batch_insert_marketing_contacts,p_contacts jsonb,(p_contacts jsonb),jsonb,true,postgres,,true,true
18068,public,rpc_cancel_campaign,p_campaign_id uuid,(p_campaign_id uuid),jsonb,true,postgres,,true,true
18069,public,rpc_cleanup_demo_companies,,(),jsonb,false,postgres,,true,true
18070,public,rpc_clone_demo_company,p_template_company_id uuid,(p_template_company_id uuid),jsonb,true,postgres,,true,true
18997,public,rpc_complete_visit,p_visit_id uuid,(p_visit_id uuid),jsonb,true,postgres,,true,true
18715,public,rpc_count_contacts_by_tag,p_tag text,(p_tag text),jsonb,true,postgres,,true,true
18065,public,rpc_create_campaign,"p_name text, p_target_tag text, p_sequence jsonb, p_contacts jsonb, p_min_delay_sec integer, p_max_delay_sec integer, p_created_by uuid","(p_name text, p_target_tag text DEFAULT NULL::text, p_sequence jsonb DEFAULT '[]'::jsonb, p_contacts jsonb DEFAULT '[]'::jsonb, p_min_delay_sec integer DEFAULT 10, p_max_delay_sec integer DEFAULT 30, p_created_by uuid DEFAULT NULL::uuid)",jsonb,true,postgres,,true,true
18485,public,rpc_create_campaign,"p_name text, p_sequence jsonb, p_contacts jsonb","(p_name text, p_sequence jsonb, p_contacts jsonb)",jsonb,true,postgres,,true,true
18716,public,rpc_delete_marketing_contact,p_contact_id uuid,(p_contact_id uuid),jsonb,true,postgres,,true,true
18717,public,rpc_delete_marketing_contacts_by_tag,p_tag text,(p_tag text),jsonb,true,postgres,,true,true
18071,public,rpc_get_clients_metrics,,(),jsonb,false,postgres,,true,true
18072,public,rpc_get_spa_dashboard,,(),jsonb,false,postgres,,true,true
18718,public,rpc_get_unique_tags,,(),jsonb,true,postgres,,true,true
18719,public,rpc_recalculate_customer_segment,p_contact_id uuid,(p_contact_id uuid),jsonb,true,postgres,,true,true
18073,public,rpc_update_company_settings,"p_name text, p_settings jsonb","(p_name text, p_settings jsonb)",jsonb,true,postgres,,true,true
18998,public,rpc_upsert_marketing_contact,p_contact jsonb,(p_contact jsonb),jsonb,true,postgres,,true,true
18714,public,rpc_upsert_marketing_contact,"p_contact jsonb, p_company_id uuid","(p_contact jsonb, p_company_id uuid)",jsonb,true,postgres,,true,true
18484,public,search_contacts,"p_company_id uuid, p_query text, p_limit integer, p_offset integer","(p_company_id uuid, p_query text, p_limit integer DEFAULT 50, p_offset integer DEFAULT 0)",SETOF crm_marketing_contacts,true,postgres,,true,true
18720,public,search_contacts,search_term text,(search_term text),SETOF crm_marketing_contacts,true,postgres,,true,true
