policy_name,table_name,roles,cmd,using_expr,check_expr
tenant_isolation_select,crm_marketing_contacts,public,select,company_id = auth_company_id(),
tenant_isolation_select_camp,crm_wa_campaigns,public,select,company_id = auth_company_id(),
tenant_isolation_select_queue,crm_wa_queue,public,select,company_id = auth_company_id(),
tenant_isolation_select_sessions,wa_sessions,public,SELECT,company_id = auth_company_id(),
profiles_self_select,profiles,public,select,id = auth.uid(),
companies_tenant_select,companies,public,select,id = auth_company_id(),
companies_tenant_update,companies,public,update,id = auth_company_id(),
spa_services_tenant_select,spa_services,public,SELECT,company_id = auth_company_id(),
spa_services_tenant_update,spa_services,public,UPDATE,company_id = auth_company_id(),
spa_services_tenant_delete,spa_services,public,DELETE,company_id = auth_company_id(),
spa_products_tenant_select,spa_products,public,SELECT,company_id = auth_company_id(),
spa_products_tenant_update,spa_products,public,UPDATE,company_id = auth_company_id(),
spa_products_tenant_delete,spa_products,public,DELETE,company_id = auth_company_id(),
spa_visits_tenant_select,spa_visits,public,SELECT,company_id = auth_company_id(),
spa_visits_tenant_update,spa_visits,public,UPDATE,company_id = auth_company_id(),
spa_follow_ups_tenant_select,spa_follow_ups,public,SELECT,company_id = auth_company_id(),
tenant_isolation_all,crm_marketing_contacts,public,all,company_id = auth_company_id(),
tenant_isolation_all_camp,crm_wa_campaigns,public,all,company_id = auth_company_id(),
tenant_isolation_all_queue,crm_wa_queue,public,all,company_id = auth_company_id(),
tenant_isolation_select_sessions,wa_sessions,public,select,company_id = auth_company_id(),
tenant_isolation_all_sessions,wa_sessions,public,all,company_id = auth_company_id(),
spa_staff_select,spa_staff,public,SELECT,company_id = auth_company_id(),
spa_staff_update,spa_staff,public,UPDATE,company_id = auth_company_id(),
spa_staff_delete,spa_staff,public,DELETE,company_id = auth_company_id(),
spa_staff_services_select,spa_staff_services,public,SELECT,EXISTS (SELECT 1 FROM spa_staff s WHERE s.id = staff_id AND s.company_id = auth_company_id()),
spa_staff_services_insert,spa_staff_services,public,INSERT,,EXISTS (SELECT 1 FROM spa_staff s WHERE s.id = staff_id AND s.company_id = auth_company_id())
spa_staff_services_delete,spa_staff_services,public,DELETE,EXISTS (SELECT 1 FROM spa_staff s WHERE s.id = staff_id AND s.company_id = auth_company_id()),
wa_auth_state_tenant_select,wa_auth_state,public,SELECT,company_id = auth_company_id(),
wa_auth_state_tenant_update,wa_auth_state,public,UPDATE,company_id = auth_company_id(),
wa_auth_state_tenant_delete,wa_auth_state,public,DELETE,company_id = auth_company_id(),
companies_tenant_update,companies,public,UPDATE,id = auth_company_id(),"id = auth_company_id()     -- No se permite modificar plan, status, o suscripción desde el frontend     -- Esos campos solo pueden cambiarse desde service_role (admin backend)"
crm_wa_queue_tenant_update,crm_wa_queue,public,UPDATE,company_id = auth_company_id(),
spa_follow_ups_tenant_update,spa_follow_ups,public,UPDATE,company_id = auth_company_id(),
spa_payments_tenant_select,spa_payments,public,SELECT,company_id = auth_company_id(),
spa_payments_tenant_update,spa_payments,public,UPDATE,company_id = auth_company_id(),
spa_staff_schedules_select,spa_staff_schedules,public,SELECT,company_id = auth_company_id(),
spa_staff_schedules_update,spa_staff_schedules,public,UPDATE,company_id = auth_company_id(),
spa_staff_schedules_delete,spa_staff_schedules,public,DELETE,company_id = auth_company_id(),
spa_staff_blocks_select,spa_staff_blocks,public,SELECT,company_id = auth_company_id(),
spa_staff_blocks_update,spa_staff_blocks,public,UPDATE,company_id = auth_company_id(),
spa_staff_blocks_delete,spa_staff_blocks,public,DELETE,company_id = auth_company_id(),
